campaign_id,school_type,strategy,conversions,interactions,time_cost
CAM001,public_hs,email,1,1,5
CAM002,public_hs,email,0,0,5
CAM003,public_hs,email,0,0,5
CAM004,public_hs,email,0,0,5
CAM005,public_hs,email,0,1,5
CAM006,public_hs,email,0,0,5
CAM007,public_hs,email,0,0,5
CAM008,private_hs,email,0,1,5
CAM009,public_hs,email,0,0,5
CAM010,public_hs,email,0,0,5
CAM011,public_hs,email,0,0,5
CAM012,public_hs,email,0,0,5
CAM013,public_hs,email,0,0,5
CAM014,public_hs,email,0,0,5
CAM015,public_hs,email,0,0,5
CAM016,public_hs,email,0,0,5
CAM017,public_hs,email,0,0,5
CAM018,private_hs,email,0,0,5
CAM019,public_hs,email,0,0,5
CAM020,public_hs,email,0,0,5
CAM021,private_hs,email,0,0,5
CAM022,private_hs,email,0,0,5
CAM023,private_hs,email,0,0,5
CAM024,private_hs,email,0,0,5
CAM025,public_hs,message,1,1,3
CAM026,public_hs,message,1,1,3
CAM027,private_hs,message,1,1,3
CAM028,public_hs,message,1,1,3
CAM029,public_hs,message,1,1,3
CAM030,private_hs,message,1,1,3
CAM031,public_hs,message,1,1,3
CAM032,public_hs,message,1,1,3
CAM033,public_hs,message,1,1,3
CAM034,public_hs,message,1,1,3
CAM035,public_hs,message,1,1,3
CAM036,public_hs,message,1,1,3
CAM037,public_hs,message,1,1,3
CAM038,internet,monthly_awareness,,7,30
CAM039,internet,recap,,12,30
CAM040,internet,announcement,,4,30
